Strategy report
Symbol: AUD/USD
Work Time: 11/9/22, 11:55 AM - 11/28/22, 8:50 AM


Id;Strategy;Side;Amount;Price;Date/Time;Trade P/L;P/L;Position;
1;TS_5_MIN_TREND(SHORT ENTRY);Sell to Open;-10000.0;$0.64495;11/9/22, 11:55 AM;;$3.20;-10000.0;
2;TS_5_MIN_TREND(<<8.00 pips>>);Buy to Close;10000.0;$0.64415;11/9/22, 12:15 PM;$8.00;$8.00;0.0;
3;TS_5_MIN_TREND(LONG_ENTRY);Buy to Open;10000.0;$0.6584;11/10/22, 10:45 AM;;$11.80;10000.0;
4;TS_5_MIN_TREND(<<11.90 pips>>);Sell to Close;-10000.0;$0.65959;11/10/22, 11:00 AM;$11.90;$19.90;0.0;
5;TS_5_MIN_TREND(LONG_ENTRY);Buy to Open;10000.0;$0.66967;11/11/22, 11:20 AM;;$13.80;10000.0;
6;TS_5_MIN_TREND(<<-9.60 pips>>);Sell to Close;-10000.0;$0.66871;11/11/22, 11:35 AM;($9.60);$10.30;0.0;
7;TS_5_MIN_TREND(SHORT ENTRY);Sell to Open;-10000.0;$0.66479;11/17/22, 8:40 AM;;$7.20;-10000.0;
8;TS_5_MIN_TREND(<<-18.90 pips>>);Buy to Close;10000.0;$0.66668;11/17/22, 10:30 AM;($18.90);($8.60);0.0;
9;TS_5_MIN_TREND(LONG_ENTRY);Buy to Open;10000.0;$0.67239;11/18/22, 8:20 AM;;($6.10);10000.0;
10;TS_5_MIN_TREND(<<-15.30 pips>>);Sell to Close;-10000.0;$0.67086;11/18/22, 8:50 AM;($15.30);($23.90);0.0;
11;TS_5_MIN_TREND(LONG_ENTRY);Buy to Open;10000.0;$0.66667;11/23/22, 9:30 AM;;($19.40);10000.0;
12;TS_5_MIN_TREND(<<8.90 pips>>);Sell to Close;-10000.0;$0.66756;11/23/22, 9:50 AM;$8.90;($15.00);0.0;
13;TS_5_MIN_TREND(LONG_ENTRY);Buy to Open;10000.0;$0.67547;11/24/22, 8:55 AM;;($14.90);10000.0;
14;TS_5_MIN_TREND(<<9.50 pips>>);Sell to Close;-10000.0;$0.67642;11/24/22, 9:30 AM;$9.50;($5.50);0.0;
15;TS_5_MIN_TREND(LONG_ENTRY);Buy to Open;10000.0;$0.6768;11/24/22, 10:20 AM;;($6.10);10000.0;
16;TS_5_MIN_TREND(<<2.20 pips>>);Sell to Close;-10000.0;$0.67702;11/24/22, 10:25 AM;$2.20;($3.30);0.0;
17;TS_5_MIN_TREND(<<NaN pips>>);Buy to Close;10000.0;$0.66925;11/28/22, 8:50 AM;$0.90;($3.70);10000.0;
18;TS_5_MIN_TREND(SHORT ENTRY);Sell to Open;-10000.0;$0.66934;11/28/22, 8:50 AM;;($2.40);0.0;


Max trade P/L: $11.90;

Total P/L: ($2.40);

Total order(s): 9;
