Strategy report
Symbol: AUD/USD
Work Time: 5/16/22, 8:25 AM - 12/1/22, 12:05 PM


Id;Strategy;Side;Amount;Price;Date/Time;Trade P/L;P/L;Position;
1;TS_5_MIN_TREND(LONG_ENTRY);Buy to Open;10000.0;$0.69266;5/16/22, 8:25 AM;;($3.50);10000.0;
2;TS_5_MIN_TREND(<<13.70 pips>>);Sell to Close;-10000.0;$0.69403;5/16/22, 10:15 AM;$13.70;$13.70;0.0;
3;TS_5_MIN_TREND(LONG_ENTRY);Buy to Open;10000.0;$0.70007;5/19/22, 8:30 AM;;$15.40;10000.0;
4;TS_5_MIN_TREND(<<11.40 pips>>);Sell to Close;-10000.0;$0.70121;5/19/22, 8:55 AM;$11.40;$25.10;0.0;
5;TS_5_MIN_TREND(LONG_ENTRY);Buy to Open;10000.0;$0.71097;5/23/22, 11:30 AM;;$24.80;10000.0;
6;TS_5_MIN_TREND(<<-13.40 pips>>);Sell to Close;-10000.0;$0.70963;5/23/22, 1:10 PM;($13.40);$11.70;0.0;
7;TS_5_MIN_TREND(SHORT ENTRY);Sell to Open;-10000.0;$0.70725;5/24/22, 8:10 AM;;$10.30;-10000.0;
8;TS_5_MIN_TREND(<<-8.70 pips>>);Buy to Close;10000.0;$0.70812;5/24/22, 8:55 AM;($8.70);$3.00;0.0;
9;TS_5_MIN_TREND(<<NaN pips>>);Buy to Close;10000.0;$0.70798;5/24/22, 10:10 AM;($5.00);($9.40);10000.0;
10;TS_5_MIN_TREND(SHORT ENTRY);Sell to Open;-10000.0;$0.70748;5/24/22, 10:10 AM;;($2.00);0.0;
11;TS_5_MIN_TREND(SHORT ENTRY);Sell to Open;-10000.0;$0.70467;5/25/22, 8:45 AM;;($2.00);-10000.0;
12;TS_5_MIN_TREND(<<5.50 pips>>);Buy to Close;10000.0;$0.70412;5/25/22, 9:15 AM;$5.50;$3.50;0.0;
13;TS_5_MIN_TREND(SHORT ENTRY);Sell to Open;-10000.0;$0.70749;5/26/22, 11:30 AM;;$4.20;-10000.0;
14;TS_5_MIN_TREND(<<-11.20 pips>>);Buy to Close;10000.0;$0.70861;5/26/22, 12:15 PM;($11.20);($7.70);0.0;
15;TS_5_MIN_TREND(LONG_ENTRY);Buy to Open;10000.0;$0.71467;5/27/22, 8:50 AM;;($12.00);10000.0;
16;TS_5_MIN_TREND(<<7.10 pips>>);Sell to Close;-10000.0;$0.71538;5/27/22, 9:30 AM;$7.10;($0.60);0.0;
17;TS_5_MIN_TREND(LONG_ENTRY);Buy to Open;10000.0;$0.71868;5/30/22, 10:55 AM;;$7.50;10000.0;
18;TS_5_MIN_TREND(<<6.30 pips>>);Sell to Close;-10000.0;$0.71931;5/30/22, 11:00 AM;$6.30;$5.70;0.0;
19;TS_5_MIN_TREND(SHORT ENTRY);Sell to Open;-10000.0;$0.71662;5/31/22, 10:05 AM;;$9.70;-10000.0;
20;TS_5_MIN_TREND(<<-15.10 pips>>);Buy to Close;10000.0;$0.71813;5/31/22, 11:55 AM;($15.10);($9.40);0.0;
21;TS_5_MIN_TREND(LONG_ENTRY);Buy to Open;10000.0;$0.72277;6/1/22, 9:35 AM;;($19.70);10000.0;
22;TS_5_MIN_TREND(<<-9.40 pips>>);Sell to Close;-10000.0;$0.72183;6/1/22, 9:40 AM;($9.40);($18.80);0.0;
23;TS_5_MIN_TREND(<<-NaN pips>>);Sell to Close;-10000.0;$0.72122;6/1/22, 9:55 AM;($6.00);($18.70);-10000.0;
24;TS_5_MIN_TREND(LONG_ENTRY);Buy to Open;10000.0;$0.72182;6/1/22, 9:55 AM;;($24.80);0.0;
25;TS_5_MIN_TREND(LONG_ENTRY);Buy to Open;10000.0;$0.72251;6/2/22, 10:05 AM;;($22.20);10000.0;
26;TS_5_MIN_TREND(<<14.30 pips>>);Sell to Close;-10000.0;$0.72394;6/2/22, 10:15 AM;$14.30;($10.50);0.0;
27;TS_5_MIN_TREND(SHORT ENTRY);Sell to Open;-10000.0;$0.71718;6/9/22, 8:05 AM;;($9.70);-10000.0;
28;TS_5_MIN_TREND(<<6.80 pips>>);Buy to Close;10000.0;$0.7165;6/9/22, 8:20 AM;$6.80;($3.70);0.0;
29;TS_5_MIN_TREND(SHORT ENTRY);Sell to Open;-10000.0;$0.71349;6/9/22, 10:05 AM;;$6.30;-10000.0;
30;TS_5_MIN_TREND(<<6.20 pips>>);Buy to Close;10000.0;$0.71287;6/9/22, 10:10 AM;$6.20;$2.50;0.0;
31;TS_5_MIN_TREND(<<-NaN pips>>);Buy to Close;10000.0;$0.71053;6/10/22, 8:50 AM;($15.10);($16.00);10000.0;
32;TS_5_MIN_TREND(SHORT ENTRY);Sell to Open;-10000.0;$0.70902;6/10/22, 8:50 AM;;($12.60);0.0;
33;TS_5_MIN_TREND(SHORT ENTRY);Sell to Open;-10000.0;$0.70473;6/10/22, 11:00 AM;;($11.90);-10000.0;
34;TS_5_MIN_TREND(<<-13.30 pips>>);Buy to Close;10000.0;$0.70606;6/10/22, 3:30 PM;($13.30);($25.90);0.0;
35;TS_5_MIN_TREND(<<-NaN pips>>);Buy to Close;10000.0;$0.68883;6/14/22, 8:20 AM;($1.60);($21.60);10000.0;
36;TS_5_MIN_TREND(SHORT ENTRY);Sell to Open;-10000.0;$0.68867;6/14/22, 8:20 AM;;($27.50);0.0;
