Strategy report
Symbol: EUR/CHF
Work Time: 11/8/22, 11:45 AM - 11/23/22, 10:40 AM


Id;Strategy;Side;Amount;Price;Date/Time;Trade P/L;P/L;Position;
1;TS_5_MIN_TREND;Buy to Open;10000.0;$0.9926;11/8/22, 11:45 AM;;$2.20;10000.0;
2;TS_PIP_TARGET_STOP_LX(Stoploss);Sell to Close;-10000.0;$0.99185;11/8/22, 6:05 PM;($7.50);($7.50);0.0;
3;TS_5_MIN_TREND;Sell to Open;-10000.0;$0.98738;11/9/22, 8:50 AM;;($5.00);-10000.0;
4;TS_PIP_TARGET_STOP_SX(Stoploss);Buy to Close;10000.0;$0.98813;11/9/22, 10:15 AM;($7.50);($15.00);0.0;
5;TS_5_MIN_TREND;Sell to Open;-10000.0;$0.98214;11/10/22, 10:15 AM;;($15.20);-10000.0;
6;TS_PIP_TARGET_STOP_SX(Stoploss);Buy to Close;10000.0;$0.98289;11/10/22, 10:25 AM;($7.50);($22.50);0.0;
7;TS_5_MIN_TREND;Sell to Open;-10000.0;$0.98383;11/10/22, 11:05 AM;;($26.00);-10000.0;
8;TS_PIP_TARGET_STOP_SX(Stoploss);Buy to Close;10000.0;$0.98458;11/10/22, 11:25 AM;($7.50);($30.00);0.0;
9;TS_5_MIN_TREND;Sell to Open;-10000.0;$0.98382;11/10/22, 11:30 AM;;($34.20);-10000.0;
10;TS_PIP_TARGET_STOP_SX(Stoploss);Buy to Close;10000.0;$0.98457;11/10/22, 11:55 AM;($7.50);($37.50);0.0;
11;TS_5_MIN_TREND;Sell to Open;-10000.0;$0.9841;11/11/22, 8:05 AM;;($33.90);-10000.0;
12;TS_PIP_TARGET_STOP_SX(Take Profit);Buy to Close;10000.0;$0.9826;11/11/22, 8:25 AM;$15.00;($22.50);0.0;
13;TS_5_MIN_TREND;Sell to Open;-10000.0;$0.97644;11/11/22, 12:00 PM;;($22.80);-10000.0;
14;TS_PIP_TARGET_STOP_SX(Take Profit);Buy to Close;10000.0;$0.97494;11/11/22, 12:40 PM;$15.00;($7.50);0.0;
15;TS_5_MIN_TREND;Buy to Open;10000.0;$0.98097;11/15/22, 8:55 AM;;($8.10);10000.0;
16;TS_PIP_TARGET_STOP_LX(Take Profit);Sell to Close;-10000.0;$0.98247;11/15/22, 9:15 AM;$15.00;$7.50;0.0;
17;TS_5_MIN_TREND;Buy to Open;10000.0;$0.98207;11/16/22, 11:50 AM;;$4.10;10000.0;
18;TS_PIP_TARGET_STOP_LX(Stoploss);Sell to Close;-10000.0;$0.98132;11/16/22, 12:05 PM;($7.50);$0.00;0.0;
19;TS_5_MIN_TREND;Sell to Open;-10000.0;$0.97933;11/23/22, 10:05 AM;;$0.00;-10000.0;
20;TS_PIP_TARGET_STOP_SX(Take Profit);Buy to Close;10000.0;$0.97783;11/23/22, 10:40 AM;$15.00;$15.00;0.0;


Max trade P/L: $15.00;

Total P/L: $15.00;

Total order(s): 10;
