Strategy report
Symbol: EUR/GBP
Work Time: 5/19/22, 10:35 AM - 11/30/22, 10:05 AM


Id;Strategy;Side;Amount;Price;Date/Time;Trade P/L;P/L;Position;
1;TS_5_MIN_TREND(SHORT ENTRY);Sell to Open;-10000.0;$0.84574;5/19/22, 10:35 AM;;($4.60);-10000.0;
2;TS_5_MIN_TREND(<<-8.00 pips>>);Buy to Close;10000.0;$0.84654;5/19/22, 11:00 AM;($8.00);($8.00);0.0;
3;TS_5_MIN_TREND(SHORT ENTRY);Sell to Open;-10000.0;$0.85133;5/25/22, 10:20 AM;;($15.90);-10000.0;
4;TS_5_MIN_TREND(<<-8.10 pips>>);Buy to Close;10000.0;$0.85214;5/25/22, 10:25 AM;($8.10);($16.10);0.0;
5;TS_5_MIN_TREND(SHORT ENTRY);Sell to Open;-10000.0;$0.85043;5/31/22, 10:35 AM;;($12.70);-10000.0;
6;TS_5_MIN_TREND(<<-5.20 pips>>);Buy to Close;10000.0;$0.85095;5/31/22, 10:50 AM;($5.20);($21.30);0.0;
7;TS_5_MIN_TREND(SHORT ENTRY);Sell to Open;-10000.0;$0.8505;5/31/22, 10:55 AM;;($18.30);-10000.0;
8;TS_5_MIN_TREND(<<-15.60 pips>>);Buy to Close;10000.0;$0.85206;5/31/22, 4:00 PM;($15.60);($36.90);0.0;
9;TS_5_MIN_TREND(LONG_ENTRY);Buy to Open;10000.0;$0.85429;6/2/22, 11:10 AM;;($37.90);10000.0;
10;TS_5_MIN_TREND(<<4.20 pips>>);Sell to Close;-10000.0;$0.85471;6/2/22, 12:05 PM;$4.20;($32.70);0.0;
11;TS_5_MIN_TREND(<<-NaN pips>>);Buy to Close;10000.0;$0.85421;6/6/22, 8:25 AM;($2.00);($37.00);10000.0;
12;TS_5_MIN_TREND(SHORT ENTRY);Sell to Open;-10000.0;$0.85401;6/6/22, 8:25 AM;;($34.70);0.0;
13;TS_5_MIN_TREND(SHORT ENTRY);Sell to Open;-10000.0;$0.85304;6/7/22, 9:50 AM;;($32.30);-10000.0;
14;TS_5_MIN_TREND(<<8.40 pips>>);Buy to Close;10000.0;$0.8522;6/7/22, 10:45 AM;$8.40;($26.30);0.0;
15;TS_5_MIN_TREND(LONG_ENTRY);Buy to Open;10000.0;$0.85619;6/8/22, 8:25 AM;;($27.00);10000.0;
16;TS_5_MIN_TREND(<<-12.60 pips>>);Sell to Close;-10000.0;$0.85493;6/8/22, 11:05 AM;($12.60);($38.90);0.0;
17;TS_5_MIN_TREND(LONG_ENTRY);Buy to Open;10000.0;$0.8589;6/13/22, 10:45 AM;;($42.20);10000.0;
18;TS_5_MIN_TREND(<<-8.50 pips>>);Sell to Close;-10000.0;$0.85805;6/13/22, 11:10 AM;($8.50);($47.40);0.0;
19;TS_5_MIN_TREND(SHORT ENTRY);Sell to Open;-10000.0;$0.85298;6/16/22, 9:50 AM;;($50.10);-10000.0;
20;TS_5_MIN_TREND(<<-10.80 pips>>);Buy to Close;10000.0;$0.85406;6/16/22, 10:05 AM;($10.80);($58.20);0.0;
21;TS_5_MIN_TREND(SHORT ENTRY);Sell to Open;-10000.0;$0.85478;6/17/22, 8:10 AM;;($60.60);-10000.0;
22;TS_5_MIN_TREND(<<-9.50 pips>>);Buy to Close;10000.0;$0.85573;6/17/22, 8:55 AM;($9.50);($67.70);0.0;
23;TS_5_MIN_TREND(LONG_ENTRY);Buy to Open;10000.0;$0.86103;6/20/22, 10:35 AM;;($74.70);10000.0;
24;TS_5_MIN_TREND(<<-14.70 pips>>);Sell to Close;-10000.0;$0.85956;6/20/22, 11:00 AM;($14.70);($82.40);0.0;
25;TS_5_MIN_TREND(LONG_ENTRY);Buy to Open;10000.0;$0.86042;6/21/22, 8:05 AM;;($82.00);10000.0;
26;TS_5_MIN_TREND(<<-12.00 pips>>);Sell to Close;-10000.0;$0.85922;6/21/22, 9:30 AM;($12.00);($94.40);0.0;
27;TS_5_MIN_TREND(LONG_ENTRY);Buy to Open;10000.0;$0.86088;6/22/22, 11:15 AM;;($91.50);10000.0;
28;TS_5_MIN_TREND(<<5.80 pips>>);Sell to Close;-10000.0;$0.86146;6/22/22, 11:25 AM;$5.80;($88.60);0.0;
29;TS_5_MIN_TREND(LONG_ENTRY);Buy to Open;10000.0;$0.86128;6/22/22, 11:45 AM;;($84.10);10000.0;
30;TS_5_MIN_TREND(<<9.90 pips>>);Sell to Close;-10000.0;$0.86227;6/22/22, 1:05 PM;$9.90;($78.70);0.0;
31;TS_5_MIN_TREND(SHORT ENTRY);Sell to Open;-10000.0;$0.85796;6/23/22, 10:20 AM;;($81.10);-10000.0;
32;TS_5_MIN_TREND(<<-14.40 pips>>);Buy to Close;10000.0;$0.8594;6/23/22, 1:00 PM;($14.40);($93.10);0.0;
33;TS_5_MIN_TREND(SHORT ENTRY);Sell to Open;-10000.0;$0.85991;7/4/22, 9:15 AM;;($92.90);-10000.0;
34;TS_5_MIN_TREND(<<2.20 pips>>);Buy to Close;10000.0;$0.85969;7/4/22, 9:25 AM;$2.20;($90.90);0.0;
35;TS_5_MIN_TREND(SHORT ENTRY);Sell to Open;-10000.0;$0.85564;7/6/22, 9:15 AM;;($93.40);-10000.0;
36;TS_5_MIN_TREND(<<7.40 pips>>);Buy to Close;10000.0;$0.8549;7/6/22, 9:30 AM;$7.40;($83.50);0.0;
37;TS_5_MIN_TREND(LONG_ENTRY);Buy to Open;10000.0;$0.8467;7/12/22, 10:30 AM;;($85.60);10000.0;
38;TS_5_MIN_TREND(<<-3.10 pips>>);Sell to Close;-10000.0;$0.84639;7/12/22, 10:50 AM;($3.10);($86.60);0.0;
39;TS_5_MIN_TREND(LONG_ENTRY);Buy to Open;10000.0;$0.85025;7/15/22, 8:05 AM;;($89.10);10000.0;
40;TS_5_MIN_TREND(<<-15.00 pips>>);Sell to Close;-10000.0;$0.84875;7/15/22, 10:05 AM;($15.00);($101.60);0.0;
41;TS_5_MIN_TREND(LONG_ENTRY);Buy to Open;10000.0;$0.85316;7/19/22, 10:15 AM;;($107.40);10000.0;
42;TS_5_MIN_TREND(<<-15.10 pips>>);Sell to Close;-10000.0;$0.85165;7/19/22, 10:40 AM;($15.10);($116.70);0.0;
43;TS_5_MIN_TREND(SHORT ENTRY);Sell to Open;-10000.0;$0.84843;7/25/22, 9:10 AM;;($115.70);-10000.0;
44;TS_5_MIN_TREND(<<-6.10 pips>>);Buy to Close;10000.0;$0.84904;7/25/22, 9:55 AM;($6.10);($122.80);0.0;
45;TS_5_MIN_TREND(SHORT ENTRY);Sell to Open;-10000.0;$0.84841;7/25/22, 10:45 AM;;($125.10);-10000.0;
46;TS_5_MIN_TREND(<<8.90 pips>>);Buy to Close;10000.0;$0.84752;7/25/22, 12:10 PM;$8.90;($113.90);0.0;
47;TS_5_MIN_TREND(LONG_ENTRY);Buy to Open;10000.0;$0.84126;7/29/22, 10:00 AM;;($116.00);10000.0;
48;TS_5_MIN_TREND(<<-6.00 pips>>);Sell to Close;-10000.0;$0.84066;7/29/22, 10:10 AM;($6.00);($119.90);0.0;
49;TS_5_MIN_TREND(<<-NaN pips>>);Buy to Close;10000.0;$0.83703;8/1/22, 8:25 AM;($2.00);($126.20);10000.0;
50;TS_5_MIN_TREND(SHORT ENTRY);Sell to Open;-10000.0;$0.83683;8/1/22, 8:25 AM;;($121.90);0.0;
51;TS_5_MIN_TREND(SHORT ENTRY);Sell to Open;-10000.0;$0.83643;8/1/22, 10:35 AM;;($122.10);-10000.0;
52;TS_5_MIN_TREND(<<-15.10 pips>>);Buy to Close;10000.0;$0.83794;8/1/22, 8:40 PM;($15.10);($137.00);0.0;
53;TS_5_MIN_TREND(LONG_ENTRY);Buy to Open;10000.0;$0.84547;8/9/22, 9:20 AM;;($137.20);10000.0;
54;TS_5_MIN_TREND(<<-4.70 pips>>);Sell to Close;-10000.0;$0.845;8/9/22, 10:20 AM;($4.70);($141.70);0.0;
55;TS_5_MIN_TREND(LONG_ENTRY);Buy to Open;10000.0;$0.84583;8/11/22, 10:50 AM;;($140.20);10000.0;
56;TS_5_MIN_TREND(<<-9.50 pips>>);Sell to Close;-10000.0;$0.84488;8/11/22, 1:00 PM;($9.50);($151.20);0.0;
57;TS_5_MIN_TREND(LONG_ENTRY);Buy to Open;10000.0;$0.84756;8/12/22, 10:20 AM;;($156.00);10000.0;
58;TS_5_MIN_TREND(<<-6.20 pips>>);Sell to Close;-10000.0;$0.84694;8/12/22, 10:25 AM;($6.20);($157.40);0.0;
59;TS_5_MIN_TREND(SHORT ENTRY);Sell to Open;-10000.0;$0.84354;8/15/22, 8:20 AM;;($156.40);-10000.0;
60;TS_5_MIN_TREND(<<4.10 pips>>);Buy to Close;10000.0;$0.84313;8/15/22, 8:30 AM;$4.10;($153.30);0.0;
61;TS_5_MIN_TREND(SHORT ENTRY);Sell to Open;-10000.0;$0.84352;8/15/22, 10:15 AM;;($154.00);-10000.0;
62;TS_5_MIN_TREND(<<-5.00 pips>>);Buy to Close;10000.0;$0.84402;8/15/22, 10:55 AM;($5.00);($158.30);0.0;
63;TS_5_MIN_TREND(<<-NaN pips>>);Buy to Close;10000.0;$0.84157;8/16/22, 11:05 AM;($1.20);($165.00);10000.0;
64;TS_5_MIN_TREND(SHORT ENTRY);Sell to Open;-10000.0;$0.84145;8/16/22, 11:05 AM;;($159.50);0.0;
65;TS_5_MIN_TREND(LONG_ENTRY);Buy to Open;10000.0;$0.84966;8/19/22, 9:10 AM;;($152.60);10000.0;
66;TS_5_MIN_TREND(<<7.90 pips>>);Sell to Close;-10000.0;$0.85045;8/19/22, 10:40 AM;$7.90;($151.60);0.0;
67;TS_5_MIN_TREND(LONG_ENTRY);Buy to Open;10000.0;$0.84971;8/26/22, 10:55 AM;;($155.80);10000.0;
68;TS_5_MIN_TREND(<<-14.90 pips>>);Sell to Close;-10000.0;$0.84822;8/26/22, 1:20 PM;($14.90);($166.50);0.0;
69;TS_5_MIN_TREND(<<-NaN pips>>);Sell to Close;-10000.0;$0.85396;8/29/22, 8:25 AM;($3.60);($172.50);-10000.0;
70;TS_5_MIN_TREND(LONG_ENTRY);Buy to Open;10000.0;$0.85432;8/29/22, 8:25 AM;;($170.10);0.0;
71;TS_5_MIN_TREND(<<-NaN pips>>);Sell to Close;-10000.0;$0.86192;8/31/22, 10:25 AM;($2.90);($175.90);-10000.0;
72;TS_5_MIN_TREND(LONG_ENTRY);Buy to Open;10000.0;$0.86221;8/31/22, 10:25 AM;;($173.00);0.0;
