Strategy report
Symbol: EUR/USD
Work Time: 5/17/22, 8:40 AM - 12/1/22, 11:45 AM


Id;Strategy;Side;Amount;Price;Date/Time;Trade P/L;P/L;Position;
1;TS_5_MIN_TREND(LONG_ENTRY);Buy to Open;10000.0;$1.05416;5/17/22, 8:40 AM;;$1.40;10000.0;
2;TS_5_MIN_TREND(<<-15.00 pips>>);Sell to Close;-10000.0;$1.05266;5/17/22, 9:50 AM;($15.00);($15.00);0.0;
3;TS_5_MIN_TREND(LONG_ENTRY);Buy to Open;10000.0;$1.06695;5/23/22, 10:40 AM;;($17.30);10000.0;
4;TS_5_MIN_TREND(<<-3.80 pips>>);Sell to Close;-10000.0;$1.06657;5/23/22, 10:45 AM;($3.80);($18.80);0.0;
5;TS_5_MIN_TREND(LONG_ENTRY);Buy to Open;10000.0;$1.0712;5/24/22, 9:45 AM;;($0.20);10000.0;
6;TS_5_MIN_TREND(<<11.90 pips>>);Sell to Close;-10000.0;$1.07239;5/24/22, 9:50 AM;$11.90;($6.90);0.0;
7;TS_5_MIN_TREND(LONG_ENTRY);Buy to Open;10000.0;$1.078;5/30/22, 12:00 PM;;($9.10);10000.0;
8;TS_5_MIN_TREND(<<5.60 pips>>);Sell to Close;-10000.0;$1.07856;5/30/22, 1:00 PM;$5.60;($1.30);0.0;
9;TS_5_MIN_TREND(LONG_ENTRY);Buy to Open;10000.0;$1.07273;6/8/22, 8:40 AM;;($1.40);10000.0;
10;TS_5_MIN_TREND(<<14.40 pips>>);Sell to Close;-10000.0;$1.07417;6/8/22, 9:40 AM;$14.40;$13.10;0.0;
11;TS_5_MIN_TREND(SHORT ENTRY);Sell to Open;-10000.0;$1.06581;6/9/22, 10:50 AM;;$16.20;-10000.0;
12;TS_5_MIN_TREND(<<-8.70 pips>>);Buy to Close;10000.0;$1.06668;6/9/22, 10:55 AM;($8.70);$4.40;0.0;
13;TS_5_MIN_TREND(SHORT ENTRY);Sell to Open;-10000.0;$1.05226;6/10/22, 11:25 AM;;$7.30;-10000.0;
14;TS_5_MIN_TREND(<<12.60 pips>>);Buy to Close;10000.0;$1.051;6/12/22, 6:05 PM;$12.60;$17.00;0.0;
15;TS_5_MIN_TREND(<<-NaN pips>>);Buy to Close;10000.0;$1.04554;6/13/22, 8:20 AM;($2.80);$29.90;10000.0;
16;TS_5_MIN_TREND(SHORT ENTRY);Sell to Open;-10000.0;$1.04526;6/13/22, 8:20 AM;;$14.20;0.0;
17;TS_5_MIN_TREND(LONG_ENTRY);Buy to Open;10000.0;$1.05525;6/24/22, 11:05 AM;;$19.40;10000.0;
18;TS_5_MIN_TREND(<<-15.00 pips>>);Sell to Close;-10000.0;$1.05375;6/24/22, 12:00 PM;($15.00);($0.80);0.0;
19;TS_5_MIN_TREND(LONG_ENTRY);Buy to Open;10000.0;$1.0578;6/27/22, 10:35 AM;;($3.40);10000.0;
20;TS_5_MIN_TREND(<<9.20 pips>>);Sell to Close;-10000.0;$1.05872;6/27/22, 10:50 AM;$9.20;$8.40;0.0;
21;TS_5_MIN_TREND(<<NaN pips>>);Buy to Close;10000.0;$1.03872;6/30/22, 8:40 AM;$6.90;$14.90;10000.0;
22;TS_5_MIN_TREND(SHORT ENTRY);Sell to Open;-10000.0;$1.03941;6/30/22, 8:40 AM;;$15.30;0.0;
23;TS_5_MIN_TREND(LONG_ENTRY);Buy to Open;10000.0;$1.04529;7/4/22, 9:40 AM;;$16.70;10000.0;
24;TS_5_MIN_TREND(<<-7.60 pips>>);Sell to Close;-10000.0;$1.04453;7/4/22, 10:00 AM;($7.60);$7.70;0.0;
25;TS_5_MIN_TREND(<<-NaN pips>>);Buy to Close;10000.0;$1.02916;7/5/22, 9:10 AM;($14.70);($1.80);10000.0;
26;TS_5_MIN_TREND(SHORT ENTRY);Sell to Open;-10000.0;$1.02769;7/5/22, 9:10 AM;;($7.00);0.0;
27;TS_5_MIN_TREND(SHORT ENTRY);Sell to Open;-10000.0;$1.01866;7/6/22, 9:40 AM;;($15.90);-10000.0;
28;TS_5_MIN_TREND(<<14.40 pips>>);Buy to Close;10000.0;$1.01722;7/6/22, 10:05 AM;$14.40;$7.40;0.0;
29;TS_5_MIN_TREND(SHORT ENTRY);Sell to Open;-10000.0;$1.01734;7/7/22, 10:40 AM;;$6.10;-10000.0;
30;TS_5_MIN_TREND(<<-6.70 pips>>);Buy to Close;10000.0;$1.01801;7/7/22, 10:45 AM;($6.70);$0.70;0.0;
31;TS_5_MIN_TREND(SHORT ENTRY);Sell to Open;-10000.0;$1.00899;7/11/22, 8:30 AM;;$9.20;-10000.0;
32;TS_5_MIN_TREND(<<10.30 pips>>);Buy to Close;10000.0;$1.00796;7/11/22, 8:40 AM;$10.30;$11.00;0.0;
33;TS_5_MIN_TREND(LONG_ENTRY);Buy to Open;10000.0;$1.00611;7/15/22, 8:05 AM;;$11.70;10000.0;
34;TS_5_MIN_TREND(<<-14.80 pips>>);Sell to Close;-10000.0;$1.00463;7/15/22, 8:35 AM;($14.80);($3.80);0.0;
35;TS_5_MIN_TREND(LONG_ENTRY);Buy to Open;10000.0;$1.01618;7/18/22, 10:05 AM;;$0.00;10000.0;
36;TS_5_MIN_TREND(<<14.60 pips>>);Sell to Close;-10000.0;$1.01764;7/18/22, 10:20 AM;$14.60;$10.80;0.0;
37;TS_5_MIN_TREND(LONG_ENTRY);Buy to Open;10000.0;$1.02405;7/25/22, 8:35 AM;;$8.20;10000.0;
38;TS_5_MIN_TREND(<<-14.20 pips>>);Sell to Close;-10000.0;$1.02263;7/25/22, 10:30 AM;($14.20);($3.40);0.0;
39;TS_5_MIN_TREND(<<NaN pips>>);Buy to Close;10000.0;$1.01277;7/26/22, 9:50 AM;$1.20;$2.40;10000.0;
40;TS_5_MIN_TREND(SHORT ENTRY);Sell to Open;-10000.0;$1.01289;7/26/22, 9:50 AM;;($2.20);0.0;
41;TS_5_MIN_TREND(SHORT ENTRY);Sell to Open;-10000.0;$1.01258;7/27/22, 10:10 AM;;$0.70;-10000.0;
42;TS_5_MIN_TREND(<<5.00 pips>>);Buy to Close;10000.0;$1.01208;7/27/22, 10:25 AM;$5.00;$2.80;0.0;
43;TS_5_MIN_TREND(LONG_ENTRY);Buy to Open;10000.0;$1.02429;8/1/22, 9:10 AM;;$17.00;10000.0;
44;TS_5_MIN_TREND(<<0.30 pips>>);Sell to Close;-10000.0;$1.02432;8/1/22, 9:15 AM;$0.30;$3.10;0.0;
45;TS_5_MIN_TREND(<<-NaN pips>>);Sell to Close;-10000.0;$1.02455;8/1/22, 9:40 AM;($4.20);($0.60);-10000.0;
46;TS_5_MIN_TREND(LONG_ENTRY);Buy to Open;10000.0;$1.02497;8/1/22, 9:40 AM;;($1.10);0.0;
47;TS_5_MIN_TREND(LONG_ENTRY);Buy to Open;10000.0;$1.0262;8/1/22, 10:40 AM;;$5.30;10000.0;
48;TS_5_MIN_TREND(<<6.00 pips>>);Sell to Close;-10000.0;$1.0268;8/1/22, 10:45 AM;$6.00;$4.90;0.0;
49;TS_5_MIN_TREND(SHORT ENTRY);Sell to Open;-10000.0;$1.01674;8/3/22, 9:45 AM;;($0.80);-10000.0;
50;TS_5_MIN_TREND(<<13.10 pips>>);Buy to Close;10000.0;$1.01543;8/3/22, 10:05 AM;$13.10;$18.00;0.0;
51;TS_5_MIN_TREND(LONG_ENTRY);Buy to Open;10000.0;$1.01989;8/4/22, 10:10 AM;;$15.90;10000.0;
52;TS_5_MIN_TREND(<<5.10 pips>>);Sell to Close;-10000.0;$1.0204;8/4/22, 10:55 AM;$5.10;$23.10;0.0;
53;TS_5_MIN_TREND(SHORT ENTRY);Sell to Open;-10000.0;$1.01287;8/18/22, 11:35 AM;;$23.40;-10000.0;
54;TS_5_MIN_TREND(<<14.80 pips>>);Buy to Close;10000.0;$1.01139;8/18/22, 11:55 AM;$14.80;$37.90;0.0;
55;TS_5_MIN_TREND(SHORT ENTRY);Sell to Open;-10000.0;$0.99317;8/22/22, 11:50 AM;;$35.20;-10000.0;
56;TS_5_MIN_TREND(<<-13.80 pips>>);Buy to Close;10000.0;$0.99455;8/22/22, 12:30 PM;($13.80);$24.10;0.0;
57;TS_5_MIN_TREND(SHORT ENTRY);Sell to Open;-10000.0;$0.99217;8/23/22, 8:20 AM;;$28.40;-10000.0;
58;TS_5_MIN_TREND(<<-10.60 pips>>);Buy to Close;10000.0;$0.99323;8/23/22, 9:15 AM;($10.60);$13.50;0.0;
59;TS_5_MIN_TREND(<<NaN pips>>);Sell to Close;-10000.0;$1.0009;8/26/22, 8:35 AM;($7.70);($0.70);-10000.0;
60;TS_5_MIN_TREND(LONG_ENTRY);Buy to Open;10000.0;$1.00167;8/26/22, 8:35 AM;;$5.80;0.0;
