Strategy report
Symbol: GBP/CHF
Work Time: 11/7/22, 10:10 AM - 11/25/22, 11:05 AM


Id;Strategy;Side;Amount;Price;Date/Time;Trade P/L;P/L;Position;
1;TS_5_MIN_TREND;Buy to Open;10000.0;$1.1345;11/7/22, 10:10 AM;;$1.10;10000.0;
2;TS_PIP_TARGET_STOP_LX(Stoploss);Sell to Close;-10000.0;$1.13375;11/7/22, 10:25 AM;($7.50);($7.50);0.0;
3;TS_5_MIN_TREND;Sell to Open;-10000.0;$1.12538;11/9/22, 8:15 AM;;$3.00;-10000.0;
4;TS_PIP_TARGET_STOP_SX(Take Profit);Buy to Close;10000.0;$1.12388;11/9/22, 8:25 AM;$15.00;$7.50;0.0;
5;TS_5_MIN_TREND;Sell to Open;-10000.0;$1.12437;11/9/22, 8:50 AM;;$19.90;-10000.0;
6;TS_PIP_TARGET_STOP_SX(Take Profit);Buy to Close;10000.0;$1.12287;11/9/22, 9:10 AM;$15.00;$22.50;0.0;
7;TS_5_MIN_TREND;Sell to Open;-10000.0;$1.12139;11/9/22, 9:55 AM;;$21.10;-10000.0;
8;TS_PIP_TARGET_STOP_SX(Stoploss);Buy to Close;10000.0;$1.12214;11/9/22, 10:15 AM;($7.50);$15.00;0.0;
9;TS_5_MIN_TREND;Sell to Open;-10000.0;$1.12126;11/9/22, 10:25 AM;;$28.50;-10000.0;
10;TS_PIP_TARGET_STOP_SX(Take Profit);Buy to Close;10000.0;$1.11976;11/9/22, 10:30 AM;$15.00;$30.00;0.0;
11;TS_5_MIN_TREND;Buy to Open;10000.0;$1.12914;11/10/22, 11:20 AM;;$32.00;10000.0;
12;TS_PIP_TARGET_STOP_LX(Stoploss);Sell to Close;-10000.0;$1.12839;11/10/22, 12:25 PM;($7.50);$22.50;0.0;
13;TS_5_MIN_TREND;Sell to Open;-10000.0;$1.11652;11/11/22, 8:25 AM;;$45.40;-10000.0;
14;TS_PIP_TARGET_STOP_SX(Take Profit);Buy to Close;10000.0;$1.11502;11/11/22, 8:30 AM;$15.00;$37.50;0.0;
15;TS_5_MIN_TREND;Sell to Open;-10000.0;$1.11574;11/11/22, 9:40 AM;;$36.90;-10000.0;
16;TS_PIP_TARGET_STOP_SX(Take Profit);Buy to Close;10000.0;$1.11424;11/11/22, 9:55 AM;$15.00;$52.50;0.0;
17;TS_5_MIN_TREND;Sell to Open;-10000.0;$1.11369;11/11/22, 11:25 AM;;$60.10;-10000.0;
18;TS_PIP_TARGET_STOP_SX(Stoploss);Buy to Close;10000.0;$1.11444;11/11/22, 11:50 AM;($7.50);$45.00;0.0;
19;TS_5_MIN_TREND;Sell to Open;-10000.0;$1.13088;11/21/22, 10:40 AM;;$45.00;-10000.0;
20;TS_PIP_TARGET_STOP_SX(Take Profit);Buy to Close;10000.0;$1.12938;11/21/22, 11:10 AM;$15.00;$60.00;0.0;
21;TS_5_MIN_TREND;Sell to Open;-10000.0;$1.12984;11/21/22, 11:30 AM;;$59.30;-10000.0;
22;TS_PIP_TARGET_STOP_SX(Stoploss);Buy to Close;10000.0;$1.13059;11/21/22, 12:30 PM;($7.50);$52.50;0.0;
23;TS_5_MIN_TREND;Buy to Open;10000.0;$1.13615;11/23/22, 10:00 AM;;$49.70;10000.0;
24;TS_PIP_TARGET_STOP_LX(Stoploss);Sell to Close;-10000.0;$1.1354;11/23/22, 10:15 AM;($7.50);$45.00;0.0;
25;TS_5_MIN_TREND;Buy to Open;10000.0;$1.1431;11/24/22, 10:20 AM;;$57.30;10000.0;
26;TS_PIP_TARGET_STOP_LX(Take Profit);Sell to Close;-10000.0;$1.1446;11/24/22, 10:30 AM;$15.00;$60.00;0.0;
27;TS_5_MIN_TREND;Buy to Open;10000.0;$1.14516;11/25/22, 10:50 AM;;$62.20;10000.0;
28;TS_PIP_TARGET_STOP_LX(Stoploss);Sell to Close;-10000.0;$1.14441;11/25/22, 11:05 AM;($7.50);$52.50;0.0;


Max trade P/L: $15.00;

Total P/L: $52.50;

Total order(s): 14;
