Strategy report
Symbol: GBP/JPY
Work Time: 11/9/22, 10:25 AM - 11/30/22, 8:35 AM


Id;Strategy;Side;Amount;Price;Date/Time;Trade P/L;P/L;Position;
1;TS_5_MIN_TREND(SHORT ENTRY);Sell to Open;-10000.0;$166.749;11/9/22, 10:25 AM;;$2,410.00;-10000.0;
2;TS_5_MIN_TREND(<<9.40 pips>>);Buy to Close;10000.0;$166.655;11/9/22, 10:30 AM;$940.00;$940.00;0.0;
3;TS_5_MIN_TREND(<<NaN pips>>);Buy to Close;10000.0;$165.289;11/17/22, 9:00 AM;$20.00;$1,800.00;10000.0;
4;TS_5_MIN_TREND(SHORT ENTRY);Sell to Open;-10000.0;$165.291;11/17/22, 9:00 AM;;$960.00;0.0;
5;TS_5_MIN_TREND(LONG_ENTRY);Buy to Open;10000.0;$168.356;11/25/22, 11:35 AM;;$350.00;10000.0;
6;TS_5_MIN_TREND(<<10.20 pips>>);Sell to Close;-10000.0;$168.458;11/25/22, 12:05 PM;$1,020.00;$1,980.00;0.0;
7;TS_5_MIN_TREND(<<-NaN pips>>);Buy to Close;10000.0;$166.146;11/29/22, 9:30 AM;($1,580.00);$760.00;10000.0;
8;TS_5_MIN_TREND(SHORT ENTRY);Sell to Open;-10000.0;$165.988;11/29/22, 9:30 AM;;$400.00;0.0;
9;TS_5_MIN_TREND(SHORT ENTRY);Sell to Open;-10000.0;$165.982;11/29/22, 10:50 AM;;$450.00;-10000.0;
10;TS_5_MIN_TREND(<<9.50 pips>>);Buy to Close;10000.0;$165.887;11/29/22, 11:05 AM;$950.00;$1,350.00;0.0;
11;TS_5_MIN_TREND(SHORT ENTRY);Sell to Open;-10000.0;$165.708;11/29/22, 11:45 AM;;$340.00;-10000.0;
12;TS_5_MIN_TREND(<<-6.80 pips>>);Buy to Close;10000.0;$165.776;11/29/22, 11:50 AM;($680.00);$670.00;0.0;
13;TS_5_MIN_TREND(<<NaN pips>>);Sell to Close;-10000.0;$166.747;11/30/22, 8:35 AM;($970.00);($1,560.00);-10000.0;
14;TS_5_MIN_TREND(LONG_ENTRY);Buy to Open;10000.0;$166.844;11/30/22, 8:35 AM;;($300.00);0.0;


Max trade P/L: $1,020.00;

Total P/L: ($300.00);

Total order(s): 7;
