Strategy report
Symbol: GBP/USD
Work Time: 11/7/22, 8:40 AM - 11/28/22, 10:20 AM


Id;Strategy;Side;Amount;Price;Date/Time;Trade P/L;P/L;Position;
1;TS_5_MIN_TREND;Buy to Open;10000.0;$1.14611;11/7/22, 8:40 AM;;($6.80);10000.0;
2;TS_PIP_TARGET_STOP_LX(Stoploss);Sell to Close;-10000.0;$1.14536;11/7/22, 8:50 AM;($7.50);($7.50);0.0;
3;TS_5_MIN_TREND;Buy to Open;10000.0;$1.14634;11/7/22, 10:10 AM;;($9.50);10000.0;
4;TS_PIP_TARGET_STOP_LX(Stoploss);Sell to Close;-10000.0;$1.14559;11/7/22, 10:15 AM;($7.50);($15.00);0.0;
5;TS_5_MIN_TREND;Buy to Open;10000.0;$1.15647;11/8/22, 11:10 AM;;($19.30);10000.0;
6;TS_PIP_TARGET_STOP_LX(Stoploss);Sell to Close;-10000.0;$1.15572;11/8/22, 11:15 AM;($7.50);($22.50);0.0;
7;TS_5_MIN_TREND;Buy to Open;10000.0;$1.15669;11/8/22, 11:35 AM;;($12.00);10000.0;
8;TS_PIP_TARGET_STOP_LX(Take Profit);Sell to Close;-10000.0;$1.15819;11/8/22, 11:45 AM;$15.00;($7.50);0.0;
9;TS_5_MIN_TREND;Buy to Open;10000.0;$1.16799;11/10/22, 11:00 AM;;($13.30);10000.0;
10;TS_PIP_TARGET_STOP_LX(Stoploss);Sell to Close;-10000.0;$1.16724;11/10/22, 11:10 AM;($7.50);($15.00);0.0;
11;TS_5_MIN_TREND;Buy to Open;10000.0;$1.18868;11/15/22, 8:30 AM;;$73.80;10000.0;
12;TS_PIP_TARGET_STOP_LX(Take Profit);Sell to Close;-10000.0;$1.19018;11/15/22, 8:35 AM;$15.00;$0.00;0.0;
13;TS_5_MIN_TREND;Sell to Open;-10000.0;$1.17724;11/17/22, 11:20 AM;;$1.90;-10000.0;
14;TS_PIP_TARGET_STOP_SX(Stoploss);Buy to Close;10000.0;$1.17799;11/17/22, 11:30 AM;($7.50);($7.50);0.0;
15;TS_5_MIN_TREND;Sell to Open;-10000.0;$1.18038;11/21/22, 8:05 AM;;($9.80);-10000.0;
16;TS_PIP_TARGET_STOP_SX(Stoploss);Buy to Close;10000.0;$1.18113;11/21/22, 8:25 AM;($7.50);($15.00);0.0;
17;TS_5_MIN_TREND;Buy to Open;10000.0;$1.18779;11/22/22, 10:05 AM;;($22.60);10000.0;
18;TS_PIP_TARGET_STOP_LX(Stoploss);Sell to Close;-10000.0;$1.18704;11/22/22, 10:10 AM;($7.50);($22.50);0.0;
19;TS_5_MIN_TREND;Buy to Open;10000.0;$1.1882;11/22/22, 10:55 AM;;($25.50);10000.0;
20;TS_PIP_TARGET_STOP_LX(Stoploss);Sell to Close;-10000.0;$1.18745;11/22/22, 11:15 AM;($7.50);($30.00);0.0;
21;TS_5_MIN_TREND;Sell to Open;-10000.0;$1.20512;11/28/22, 9:45 AM;;($33.40);-10000.0;
22;TS_PIP_TARGET_STOP_SX(Stoploss);Buy to Close;10000.0;$1.20587;11/28/22, 10:20 AM;($7.50);($37.50);0.0;


Max trade P/L: $15.00;

Total P/L: ($37.50);

Total order(s): 11;
