Strategy report
Symbol: NZD/USD
Work Time: 11/8/22, 10:35 AM - 11/28/22, 12:15 PM


Id;Strategy;Side;Amount;Price;Date/Time;Trade P/L;P/L;Position;
1;TS_5_MIN_TREND;Buy to Open;10000.0;$0.59771;11/8/22, 10:35 AM;;$0.50;10000.0;
2;TS_PIP_TARGET_STOP_LX(Take Profit);Sell to Close;-10000.0;$0.59921;11/8/22, 11:40 AM;$15.00;$15.00;0.0;
3;TS_5_MIN_TREND;Sell to Open;-10000.0;$0.59002;11/9/22, 11:55 AM;;$18.00;-10000.0;
4;TS_PIP_TARGET_STOP_SX(Take Profit);Buy to Close;10000.0;$0.58852;11/9/22, 1:25 PM;$15.00;$30.00;0.0;
5;TS_5_MIN_TREND;Buy to Open;10000.0;$0.60061;11/10/22, 10:45 AM;;$33.50;10000.0;
6;TS_PIP_TARGET_STOP_LX(Stoploss);Sell to Close;-10000.0;$0.59986;11/10/22, 11:15 AM;($7.50);$22.50;0.0;
7;TS_5_MIN_TREND;Buy to Open;10000.0;$0.61031;11/11/22, 11:20 AM;;$18.70;10000.0;
8;TS_PIP_TARGET_STOP_LX(Stoploss);Sell to Close;-10000.0;$0.60956;11/11/22, 11:35 AM;($7.50);$15.00;0.0;
9;TS_5_MIN_TREND;Buy to Open;10000.0;$0.6157;11/15/22, 8:15 AM;;$6.90;10000.0;
10;TS_PIP_TARGET_STOP_LX(Stoploss);Sell to Close;-10000.0;$0.61495;11/15/22, 8:20 AM;($7.50);$7.50;0.0;
11;TS_5_MIN_TREND;Buy to Open;10000.0;$0.61537;11/15/22, 10:55 AM;;$15.00;10000.0;
12;TS_PIP_TARGET_STOP_LX(Take Profit);Sell to Close;-10000.0;$0.61687;11/15/22, 11:10 AM;$15.00;$22.50;0.0;
13;TS_5_MIN_TREND;Buy to Open;10000.0;$0.61671;11/16/22, 9:10 AM;;$24.70;10000.0;
14;TS_PIP_TARGET_STOP_LX(Stoploss);Sell to Close;-10000.0;$0.61596;11/16/22, 10:20 AM;($7.50);$15.00;0.0;
15;TS_5_MIN_TREND;Sell to Open;-10000.0;$0.60791;11/17/22, 9:55 AM;;$18.80;-10000.0;
16;TS_PIP_TARGET_STOP_SX(Stoploss);Buy to Close;10000.0;$0.60866;11/17/22, 10:30 AM;($7.50);$7.50;0.0;
17;TS_5_MIN_TREND;Buy to Open;10000.0;$0.61974;11/18/22, 8:20 AM;;$9.00;10000.0;
18;TS_PIP_TARGET_STOP_LX(Stoploss);Sell to Close;-10000.0;$0.61899;11/18/22, 8:45 AM;($7.50);$0.00;0.0;
19;TS_5_MIN_TREND;Buy to Open;10000.0;$0.61795;11/23/22, 8:50 AM;;$3.30;10000.0;
20;TS_PIP_TARGET_STOP_LX(Take Profit);Sell to Close;-10000.0;$0.61945;11/23/22, 9:30 AM;$15.00;$15.00;0.0;
21;TS_5_MIN_TREND;Sell to Open;-10000.0;$0.62237;11/25/22, 8:45 AM;;$14.20;-10000.0;
22;TS_PIP_TARGET_STOP_SX(Stoploss);Buy to Close;10000.0;$0.62312;11/25/22, 9:40 AM;($7.50);$7.50;0.0;
23;TS_5_MIN_TREND;Sell to Open;-10000.0;$0.62071;11/28/22, 10:25 AM;;$9.40;-10000.0;
24;TS_PIP_TARGET_STOP_SX(Take Profit);Buy to Close;10000.0;$0.61921;11/28/22, 12:15 PM;$15.00;$22.50;0.0;


Max trade P/L: $15.00;

Total P/L: $22.50;

Total order(s): 12;
