Strategy report
Symbol: NZD/USD
Work Time: 5/16/22, 8:25 AM - 11/28/22, 11:30 AM


Id;Strategy;Side;Amount;Price;Date/Time;Trade P/L;P/L;Position;
1;TS_5_MIN_TREND(LONG_ENTRY);Buy to Open;10000.0;$0.62806;5/16/22, 8:25 AM;;($1.80);10000.0;
2;TS_5_MIN_TREND(<<11.80 pips>>);Sell to Close;-10000.0;$0.62924;5/16/22, 8:55 AM;$11.80;$11.80;0.0;
3;TS_5_MIN_TREND(LONG_ENTRY);Buy to Open;10000.0;$0.64714;5/23/22, 11:30 AM;;$11.70;10000.0;
4;TS_5_MIN_TREND(<<-7.40 pips>>);Sell to Close;-10000.0;$0.6464;5/23/22, 11:50 AM;($7.40);$4.40;0.0;
5;TS_5_MIN_TREND(SHORT ENTRY);Sell to Open;-10000.0;$0.64348;5/24/22, 8:10 AM;;$3.80;-10000.0;
6;TS_5_MIN_TREND(<<-8.50 pips>>);Buy to Close;10000.0;$0.64433;5/24/22, 8:55 AM;($8.50);($4.10);0.0;
7;TS_5_MIN_TREND(LONG_ENTRY);Buy to Open;10000.0;$0.65241;5/27/22, 8:50 AM;;($8.60);10000.0;
8;TS_5_MIN_TREND(<<5.00 pips>>);Sell to Close;-10000.0;$0.65291;5/27/22, 9:15 AM;$5.00;$0.90;0.0;
9;TS_5_MIN_TREND(SHORT ENTRY);Sell to Open;-10000.0;$0.64995;5/31/22, 10:05 AM;;$2.20;-10000.0;
10;TS_5_MIN_TREND(<<-15.00 pips>>);Buy to Close;10000.0;$0.65145;5/31/22, 11:10 AM;($15.00);($14.10);0.0;
11;TS_5_MIN_TREND(LONG_ENTRY);Buy to Open;10000.0;$0.65211;6/2/22, 9:15 AM;;($11.70);10000.0;
12;TS_5_MIN_TREND(<<7.20 pips>>);Sell to Close;-10000.0;$0.65283;6/2/22, 9:30 AM;$7.20;($6.90);0.0;
13;TS_5_MIN_TREND(LONG_ENTRY);Buy to Open;10000.0;$0.65259;6/2/22, 10:05 AM;;($4.90);10000.0;
14;TS_5_MIN_TREND(<<9.90 pips>>);Sell to Close;-10000.0;$0.65358;6/2/22, 10:15 AM;$9.90;$3.00;0.0;
15;TS_5_MIN_TREND(LONG_ENTRY);Buy to Open;10000.0;$0.65296;6/6/22, 9:35 AM;;($0.90);10000.0;
16;TS_5_MIN_TREND(<<-9.20 pips>>);Sell to Close;-10000.0;$0.65204;6/6/22, 10:25 AM;($9.20);($6.20);0.0;
17;TS_5_MIN_TREND(SHORT ENTRY);Sell to Open;-10000.0;$0.64483;6/8/22, 8:55 AM;;($9.80);-10000.0;
18;TS_5_MIN_TREND(<<-4.60 pips>>);Buy to Close;10000.0;$0.64529;6/8/22, 9:00 AM;($4.60);($10.80);0.0;
19;TS_5_MIN_TREND(<<-NaN pips>>);Buy to Close;10000.0;$0.64074;6/10/22, 8:50 AM;($15.00);($29.40);10000.0;
20;TS_5_MIN_TREND(SHORT ENTRY);Sell to Open;-10000.0;$0.63924;6/10/22, 8:50 AM;;($25.80);0.0;
21;TS_5_MIN_TREND(SHORT ENTRY);Sell to Open;-10000.0;$0.62324;6/14/22, 10:05 AM;;($19.20);-10000.0;
22;TS_5_MIN_TREND(<<4.10 pips>>);Buy to Close;10000.0;$0.62283;6/14/22, 10:10 AM;$4.10;($21.70);0.0;
