Strategy report
Symbol: USD/CHF
Work Time: 11/7/22, 9:35 AM - 11/28/22, 10:25 AM


Id;Strategy;Side;Amount;Price;Date/Time;Trade P/L;P/L;Position;
1;TS_5_MIN_TREND;Sell to Open;-10000.0;$0.9884;11/7/22, 9:35 AM;;($11.80);-10000.0;
2;TS_PIP_TARGET_STOP_SX(Stoploss);Buy to Close;10000.0;$0.98915;11/7/22, 9:40 AM;($7.50);($7.50);0.0;
3;TS_5_MIN_TREND;Sell to Open;-10000.0;$0.9498;11/11/22, 10:10 AM;;($0.70);-10000.0;
4;TS_PIP_TARGET_STOP_SX(Take Profit);Buy to Close;10000.0;$0.9483;11/11/22, 10:45 AM;$15.00;$7.50;0.0;
5;TS_5_MIN_TREND;Sell to Open;-10000.0;$0.94551;11/14/22, 11:20 AM;;$19.20;-10000.0;
6;TS_PIP_TARGET_STOP_SX(Take Profit);Buy to Close;10000.0;$0.94401;11/14/22, 11:35 AM;$15.00;$22.50;0.0;
7;TS_5_MIN_TREND;Buy to Open;10000.0;$0.95159;11/17/22, 9:40 AM;;$26.70;10000.0;
8;TS_PIP_TARGET_STOP_LX(Take Profit);Sell to Close;-10000.0;$0.95309;11/17/22, 10:00 AM;$15.00;$37.50;0.0;
9;TS_5_MIN_TREND;Buy to Open;10000.0;$0.9543;11/18/22, 10:05 AM;;$34.00;10000.0;
10;TS_PIP_TARGET_STOP_LX(Stoploss);Sell to Close;-10000.0;$0.95355;11/18/22, 10:15 AM;($7.50);$30.00;0.0;
11;TS_5_MIN_TREND;Buy to Open;10000.0;$0.95847;11/21/22, 8:05 AM;;$27.00;10000.0;
12;TS_PIP_TARGET_STOP_LX(Stoploss);Sell to Close;-10000.0;$0.95772;11/21/22, 8:20 AM;($7.50);$22.50;0.0;
13;TS_5_MIN_TREND;Sell to Open;-10000.0;$0.95199;11/22/22, 9:40 AM;;$20.80;-10000.0;
14;TS_PIP_TARGET_STOP_SX(Stoploss);Buy to Close;10000.0;$0.95274;11/22/22, 10:15 AM;($7.50);$15.00;0.0;
15;TS_5_MIN_TREND;Sell to Open;-10000.0;$0.94881;11/23/22, 8:50 AM;;$13.40;-10000.0;
16;TS_PIP_TARGET_STOP_SX(Take Profit);Buy to Close;10000.0;$0.94731;11/23/22, 9:50 AM;$15.00;$30.00;0.0;
17;TS_5_MIN_TREND;Buy to Open;10000.0;$0.94614;11/25/22, 8:05 AM;;$45.50;10000.0;
18;TS_PIP_TARGET_STOP_LX(Take Profit);Sell to Close;-10000.0;$0.94764;11/25/22, 8:10 AM;$15.00;$45.00;0.0;
19;TS_5_MIN_TREND;Buy to Open;10000.0;$0.94831;11/25/22, 10:00 AM;;$49.50;10000.0;
20;TS_PIP_TARGET_STOP_LX(Stoploss);Sell to Close;-10000.0;$0.94756;11/25/22, 10:45 AM;($7.50);$37.50;0.0;
21;TS_5_MIN_TREND;Sell to Open;-10000.0;$0.94342;11/28/22, 10:15 AM;;$37.30;-10000.0;
22;TS_PIP_TARGET_STOP_SX(Stoploss);Buy to Close;10000.0;$0.94417;11/28/22, 10:25 AM;($7.50);$30.00;0.0;


Max trade P/L: $15.00;

Total P/L: $30.00;

Total order(s): 11;
