Strategy report
Symbol: USD/JPY
Work Time: 5/17/22, 9:00 AM - 11/30/22, 9:40 AM


Id;Strategy;Side;Amount;Price;Date/Time;Trade P/L;P/L;Position;
1;TS_5_MIN_TREND(LONG_ENTRY);Buy to Open;10000.0;$129.57;5/17/22, 9:00 AM;;($260.00);10000.0;
2;TS_5_MIN_TREND(<<8.10 pips>>);Sell to Close;-10000.0;$129.651;5/17/22, 9:30 AM;$810.00;$810.00;0.0;
3;TS_5_MIN_TREND(LONG_ENTRY);Buy to Open;10000.0;$129.706;5/17/22, 9:50 AM;;($170.00);10000.0;
4;TS_5_MIN_TREND(<<-11.80 pips>>);Sell to Close;-10000.0;$129.588;5/17/22, 10:00 AM;($1,180.00);($370.00);0.0;
5;TS_5_MIN_TREND(SHORT ENTRY);Sell to Open;-10000.0;$128.713;5/18/22, 9:35 AM;;$450.00;-10000.0;
6;TS_5_MIN_TREND(<<6.20 pips>>);Buy to Close;10000.0;$128.651;5/18/22, 9:40 AM;$620.00;$250.00;0.0;
7;TS_5_MIN_TREND(SHORT ENTRY);Sell to Open;-10000.0;$128.569;5/18/22, 10:45 AM;;($300.00);-10000.0;
8;TS_5_MIN_TREND(<<14.40 pips>>);Buy to Close;10000.0;$128.425;5/18/22, 11:05 AM;$1,440.00;$1,690.00;0.0;
9;TS_5_MIN_TREND(<<NaN pips>>);Buy to Close;10000.0;$126.609;5/24/22, 10:05 AM;($1,340.00);$720.00;10000.0;
10;TS_5_MIN_TREND(SHORT ENTRY);Sell to Open;-10000.0;$126.475;5/24/22, 10:05 AM;;$350.00;0.0;
11;TS_5_MIN_TREND(LONG_ENTRY);Buy to Open;10000.0;$130.828;6/6/22, 9:05 AM;;$330.00;10000.0;
12;TS_5_MIN_TREND(<<8.20 pips>>);Sell to Close;-10000.0;$130.91;6/6/22, 9:25 AM;$820.00;$1,170.00;0.0;
13;TS_5_MIN_TREND(LONG_ENTRY);Buy to Open;10000.0;$133.983;6/8/22, 8:10 AM;;$1,510.00;10000.0;
14;TS_5_MIN_TREND(<<12.80 pips>>);Sell to Close;-10000.0;$134.111;6/8/22, 8:25 AM;$1,280.00;$2,450.00;0.0;
15;TS_5_MIN_TREND(SHORT ENTRY);Sell to Open;-10000.0;$133.737;6/10/22, 8:30 AM;;($2,000.00);-10000.0;
16;TS_5_MIN_TREND(<<-2.00 pips>>);Buy to Close;10000.0;$133.757;6/10/22, 8:35 AM;($200.00);$2,250.00;0.0;
17;TS_5_MIN_TREND(SHORT ENTRY);Sell to Open;-10000.0;$132.633;6/16/22, 10:05 AM;;$1,000.00;-10000.0;
18;TS_5_MIN_TREND(<<-12.70 pips>>);Buy to Close;10000.0;$132.76;6/16/22, 10:10 AM;($1,270.00);$980.00;0.0;
19;TS_5_MIN_TREND(LONG_ENTRY);Buy to Open;10000.0;$135.059;6/20/22, 10:30 AM;;$1,210.00;10000.0;
20;TS_5_MIN_TREND(<<-12.40 pips>>);Sell to Close;-10000.0;$134.935;6/20/22, 11:00 AM;($1,240.00);($260.00);0.0;
21;TS_5_MIN_TREND(<<NaN pips>>);Buy to Close;10000.0;$135.001;6/23/22, 9:50 AM;($4,400.00);($6,620.00);10000.0;
22;TS_5_MIN_TREND(SHORT ENTRY);Sell to Open;-10000.0;$134.561;6/23/22, 9:50 AM;;($4,660.00);0.0;
23;TS_5_MIN_TREND(LONG_ENTRY);Buy to Open;10000.0;$136.195;6/28/22, 8:35 AM;;($4,850.00);10000.0;
24;TS_5_MIN_TREND(<<8.30 pips>>);Sell to Close;-10000.0;$136.278;6/28/22, 8:50 AM;$830.00;($3,830.00);0.0;
25;TS_5_MIN_TREND(LONG_ENTRY);Buy to Open;10000.0;$136.191;6/28/22, 10:40 AM;;($4,170.00);10000.0;
26;TS_5_MIN_TREND(<<-9.20 pips>>);Sell to Close;-10000.0;$136.099;6/28/22, 10:50 AM;($920.00);($4,750.00);0.0;
27;TS_5_MIN_TREND(SHORT ENTRY);Sell to Open;-10000.0;$135.201;7/1/22, 8:10 AM;;($5,720.00);-10000.0;
28;TS_5_MIN_TREND(<<-15.30 pips>>);Buy to Close;10000.0;$135.354;7/1/22, 8:40 AM;($1,530.00);($6,280.00);0.0;
29;TS_5_MIN_TREND(SHORT ENTRY);Sell to Open;-10000.0;$135.098;7/6/22, 9:45 AM;;($8,380.00);-10000.0;
30;TS_5_MIN_TREND(<<-8.10 pips>>);Buy to Close;10000.0;$135.179;7/6/22, 9:50 AM;($810.00);($7,090.00);0.0;
31;TS_5_MIN_TREND(<<NaN pips>>);Sell to Close;-10000.0;$135.814;7/8/22, 8:35 AM;($2,800.00);($12,200.00);-10000.0;
32;TS_5_MIN_TREND(LONG_ENTRY);Buy to Open;10000.0;$136.094;7/8/22, 8:35 AM;;($9,890.00);0.0;
33;TS_5_MIN_TREND(LONG_ENTRY);Buy to Open;10000.0;$137.411;7/11/22, 8:30 AM;;($8,830.00);10000.0;
34;TS_5_MIN_TREND(<<12.70 pips>>);Sell to Close;-10000.0;$137.538;7/11/22, 8:35 AM;$1,270.00;($8,620.00);0.0;
35;TS_5_MIN_TREND(LONG_ENTRY);Buy to Open;10000.0;$137.547;7/13/22, 9:20 AM;;($8,250.00);10000.0;
36;TS_5_MIN_TREND(<<10.40 pips>>);Sell to Close;-10000.0;$137.651;7/13/22, 10:05 AM;$1,040.00;($7,580.00);0.0;
37;TS_5_MIN_TREND(LONG_ENTRY);Buy to Open;10000.0;$139.276;7/14/22, 10:50 AM;;($8,130.00);10000.0;
38;TS_5_MIN_TREND(<<-13.80 pips>>);Sell to Close;-10000.0;$139.138;7/14/22, 11:00 AM;($1,380.00);($8,960.00);0.0;
39;TS_5_MIN_TREND(SHORT ENTRY);Sell to Open;-10000.0;$135.958;7/22/22, 10:40 AM;;($9,360.00);-10000.0;
40;TS_5_MIN_TREND(<<9.80 pips>>);Buy to Close;10000.0;$135.86;7/22/22, 10:50 AM;$980.00;($7,980.00);0.0;
41;TS_5_MIN_TREND(SHORT ENTRY);Sell to Open;-10000.0;$136.152;7/22/22, 11:55 AM;;($7,770.00);-10000.0;
42;TS_5_MIN_TREND(<<13.30 pips>>);Buy to Close;10000.0;$136.019;7/22/22, 1:00 PM;$1,330.00;($6,650.00);0.0;
43;TS_5_MIN_TREND(LONG_ENTRY);Buy to Open;10000.0;$136.703;7/26/22, 8:25 AM;;($6,940.00);10000.0;
