Strategy report
Symbol: USD/SEK
Work Time: 5/17/22, 8:30 AM - 11/30/22, 12:15 PM


Id;Strategy;Side;Amount;Price;Date/Time;Trade P/L;P/L;Position;
1;TS_5_MIN_TREND(SHORT ENTRY);Sell to Open;-10000.0;$9.90793;5/17/22, 8:30 AM;;($33.90);-10000.0;
2;TS_5_MIN_TREND(<<-91.80 pips>>);Buy to Close;10000.0;$9.91711;5/17/22, 8:35 AM;($91.80);($91.80);0.0;
3;TS_5_MIN_TREND(SHORT ENTRY);Sell to Open;-10000.0;$9.89938;5/17/22, 8:40 AM;;($80.00);-10000.0;
4;TS_5_MIN_TREND(<<-150.40 pips>>);Buy to Close;10000.0;$9.91442;5/17/22, 8:55 AM;($150.40);($242.20);0.0;
5;TS_5_MIN_TREND(SHORT ENTRY);Sell to Open;-10000.0;$9.78958;5/24/22, 8:05 AM;;($284.40);-10000.0;
6;TS_5_MIN_TREND(<<-143.00 pips>>);Buy to Close;10000.0;$9.80388;5/24/22, 8:30 AM;($143.00);($385.20);0.0;
7;TS_5_MIN_TREND(<<-NaN pips>>);Buy to Close;10000.0;$9.7992;5/24/22, 9:10 AM;($44.00);($418.80);10000.0;
8;TS_5_MIN_TREND(SHORT ENTRY);Sell to Open;-10000.0;$9.7948;5/24/22, 9:10 AM;;($429.20);0.0;
9;TS_5_MIN_TREND(<<NaN pips>>);Buy to Close;10000.0;$9.78425;5/24/22, 10:25 AM;($28.40);($599.40);10000.0;
10;TS_5_MIN_TREND(SHORT ENTRY);Sell to Open;-10000.0;$9.78141;5/24/22, 10:25 AM;;($457.60);0.0;
11;TS_5_MIN_TREND(SHORT ENTRY);Sell to Open;-10000.0;$9.8199;5/27/22, 8:50 AM;;($532.70);-10000.0;
12;TS_5_MIN_TREND(<<-150.00 pips>>);Buy to Close;10000.0;$9.8349;5/27/22, 9:25 AM;($150.00);($607.60);0.0;
13;TS_5_MIN_TREND(SHORT ENTRY);Sell to Open;-10000.0;$9.75787;5/30/22, 10:15 AM;;($622.10);-10000.0;
14;TS_5_MIN_TREND(<<89.10 pips>>);Buy to Close;10000.0;$9.74896;5/30/22, 11:00 AM;$89.10;($518.50);0.0;
15;TS_5_MIN_TREND(SHORT ENTRY);Sell to Open;-10000.0;$9.74548;5/30/22, 11:15 AM;;($484.70);-10000.0;
16;TS_5_MIN_TREND(<<43.80 pips>>);Buy to Close;10000.0;$9.7411;5/30/22, 11:20 AM;$43.80;($474.70);0.0;
17;TS_5_MIN_TREND(LONG_ENTRY);Buy to Open;10000.0;$9.81125;5/31/22, 8:05 AM;;($577.40);10000.0;
18;TS_5_MIN_TREND(<<119.10 pips>>);Sell to Close;-10000.0;$9.82316;5/31/22, 8:40 AM;$119.10;($355.60);0.0;
19;TS_5_MIN_TREND(SHORT ENTRY);Sell to Open;-10000.0;$9.75781;6/1/22, 9:35 AM;;($551.50);-10000.0;
20;TS_5_MIN_TREND(<<-150.00 pips>>);Buy to Close;10000.0;$9.77281;6/1/22, 9:40 AM;($150.00);($505.60);0.0;
21;TS_5_MIN_TREND(SHORT ENTRY);Sell to Open;-10000.0;$9.78884;6/2/22, 8:15 AM;;($518.20);-10000.0;
22;TS_5_MIN_TREND(<<89.40 pips>>);Buy to Close;10000.0;$9.7799;6/2/22, 8:45 AM;$89.40;($416.20);0.0;
23;TS_5_MIN_TREND(SHORT ENTRY);Sell to Open;-10000.0;$9.77938;6/2/22, 9:15 AM;;($371.30);-10000.0;
24;TS_5_MIN_TREND(<<-126.40 pips>>);Buy to Close;10000.0;$9.79202;6/2/22, 10:00 AM;($126.40);($542.60);0.0;
